,root,type,struct,f_pos,notes,difficulty,complexity,chord
36,A#,m,1;b3;5,"1,3,4,1,1,1","A#,E#,A#,C#,E#,A#",4,22.05,A#m
42,A#,m7,1;b3;5;b7,"x,1,3,1,2,1","A#,E#,G#,C#,E#",3,44.1,A#m7
38,A#,m,1;b3;5,"x,x,3,1,1,x","A#,C#,E#",1,22.05,A#m
57,A#,maj7,1;3;5;7,"x,1,3,2,4,1","A#,E#,G##,C##,E#",3,26.46,A#maj7
56,A#,7sus4,1;4;5;b7,"x,x,1,3,2,4","A#,E#,G#,D#",2,39.69,A#7sus4
55,A#,7sus4,1;4;5;b7,"1,3,1,4,1,1","A#,E#,G#,D#,E#,A#",4,39.69,A#7sus4
54,A#,7sus4,1;4;5;b7,"x,1,3,1,4,1","A#,E#,G#,D#,E#",3,39.69,A#7sus4
53,A#,7(#5),1;3;#5;b7,"x,1,2,1,1,x","G#,C##,E##,A#",2,44.1,A#7(#5)
52,A#,7(#5),1;3;#5;b7,"1,x,1,2,3,1","A#,G#,C##,E##,A#",3,44.1,A#7(#5)
51,A#,7(#5),1;3;#5;b7,"x,1,4,1,3,2","A#,E##,G#,C##,E##",3,44.1,A#7(#5)
50,A#,6,1;3;5;6,"x,x,1,3,1,4","A#,E#,F##,C##",2,26.46,A#6
49,A#,6,1;3;5;6,"1,x,3,2,4,1","A#,A#,C##,F##,A#",3,26.46,A#6
48,A#,6,1;3;5;6,"x,1,3,3,3,3","A#,E#,A#,C##,F##",3,26.46,A#6
47,A#,dim,1;b3;b5,"1,2,3,1,x,x","A#,E,A#,C#",2,22.05,A#dim
46,A#,dim,1;b3;b5,"x,x,4,3,1,2","A#,C#,E,A#",2,22.05,A#dim
44,A#,m7,1;b3;5;b7,"x,x,1,4,2,3","A#,E#,G#,C#",2,44.1,A#m7
43,A#,m7,1;b3;5;b7,"1,3,1,1,4,1","A#,E#,G#,C#,G#,A#",4,44.1,A#m7
37,A#,m,1;b3;5,"x,x,1,3,4,2","A#,E#,A#,C#",2,22.05,A#m
58,A#,maj7,1;3;5;7,"1,4,2,3,1,x","A#,E#,G##,C##,E#",3,26.46,A#maj7
59,A#,maj7,1;3;5;7,"x,4,3,1,1,1","A#,C##,E#,G##,C##",3,26.46,A#maj7
45,A#,dim,1;b3;b5,"x,1,2,3,4,x","A#,E,A#,C#",2,22.05,A#dim
61,A#,m6,1;b3;5;6,"x,1,3,0,2,4","A#,E#,F##,C#,F##",3,44.1,A#m6
60,A#,5,1;5,"1,3,x,x,x,x","A#,E#",0,0.0,A#5
40,A#,7b5,1;3;b5;b7,"x,x,2,4,1,3","G#,C##,E,A#",2,52.92,A#7b5
74,A#,6/9,1;3;5;6;9,"2,1,1,1,3,4","A#,C##,F##,B#,E#,A#",4,52.92,A#6/9
73,A#,6/9,1;3;5;6;9,"x,1,0,0,2,3","A#,C##,F##,B#,E#",3,52.92,A#6/9
72,A#,sus4,1;4;5,"1,1,3,4,1,1","A#,D#,A#,D#,E#,A#",4,17.64,A#sus4
71,A#,sus4,1;4;5,"x,x,1,1,2,4","E#,A#,D#,A#",2,17.64,A#sus4
70,A#,sus4,1;4;5,"x,1,2,3,4,1","A#,E#,A#,D#,E#",3,17.64,A#sus4
75,A#,6/9,1;3;5;6;9,"x,x,2,1,3,4","A#,C##,F##,B#",2,52.92,A#6/9
68,A#,m9,1;b3;5;b7;9,"1,3,1,1,1,4","A#,E#,G#,C#,E#,B#",4,61.74,A#m9
62,A#,m6,1;b3;5;6,"1,x,3,1,4,1","A#,A#,C#,F##,A#",3,44.1,A#m6
69,A#,m9,1;b3;5;b7;9,"x,2,1,3,4,x","A#,C#,G#,B#",2,61.74,A#m9
63,A#,m6,1;b3;5;6,"x,x,1,3,1,2","A#,E#,F##,C#",2,44.1,A#m6
39,A#,7b5,1;3;b5;b7,"x,1,2,1,3,x","A#,E,G#,C##",2,52.92,A#7b5
65,A#,7(b9),1;3;5;b7;b9,"3,2,4,1,x,x","A#,C##,G#,B",2,52.92,A#7(b9)
66,A#,7(b9),1;3;5;b7;b9,"1,x,1,2,1,3","A#,G#,C##,E#,B",3,52.92,A#7(b9)
64,A#,7(b9),1;3;5;b7;b9,"x,1,0,2,x,3","A#,C##,G#,E#",2,52.92,A#7(b9)
67,A#,m9,1;b3;5;b7;9,"3,1,4,2,x,x","A#,C#,G#,B#",2,61.74,A#m9
612,Ab,maj7,1;3;5;7,"x,x,4,3,2,1","Ab,C,Eb,G",2,26.46,Abmaj7
601,Ab,6,1;3;5;6,"1,x,x,3,4,x","Ab,C,F",1,26.46,Ab6
602,Ab,6,1;3;5;6,"x,x,1,3,1,4","Ab,Eb,F,C",2,26.46,Ab6
603,Ab,7(#5),1;3;#5;b7,"1,x,1,2,3,1","Ab,Gb,C,E,Ab",3,44.1,Ab7(#5)
604,Ab,7(#5),1;3;#5;b7,"x,1,2,1,1,x","Gb,C,E,Ab",2,44.1,Ab7(#5)
605,Ab,7(#5),1;3;#5;b7,"x,1,4,1,3,2","Ab,E,Gb,C,E",3,44.1,Ab7(#5)
606,Ab,7(#5),1;3;#5;b7,"1,x,2,3,4,x","Ab,Gb,C,E",2,44.1,Ab7(#5)
608,Ab,7sus4,1;4;5;b7,"x,x,1,1,2,3","Eb,Ab,Db,Gb",2,39.69,Ab7sus4
610,Ab,7sus4,1;4;5;b7,"x,x,1,3,2,4","Ab,Eb,Gb,Db",2,39.69,Ab7sus4
611,Ab,7sus4,1;4;5;b7,"4,x,1,3,2,x","Db,Ab,Eb,Gb",2,39.69,Ab7sus4
600,Ab,6,1;3;5;6,"2,x,1,4,x,x","Ab,F,C",1,26.46,Ab6
607,Ab,7(#5),1;3;#5;b7,"x,x,1,2,3,1","Gb,C,E,Ab",2,44.1,Ab7(#5)
609,Ab,7sus4,1;4;5;b7,"1,3,1,4,1,1","Ab,Eb,Gb,Db,Eb,Ab",4,39.69,Ab7sus4
517,Ab,13,1;3;5;b7;9;11;13,"1,x,1,2,3,4","Ab,Gb,C,F,Bb",3,74.97,Ab13
598,Ab,6,1;3;5;6,"x,4,2,3,1,x","Ab,C,F,Ab",2,26.46,Ab6
597,Ab,6,1;3;5;6,"1,x,3,2,4,1","Ab,Ab,C,F,Ab",3,26.46,Ab6
596,Ab,6,1;3;5;6,"x,x,1,1,1,1","Eb,Ab,C,F",2,26.46,Ab6
595,Ab,dim,1;b3;b5,"x,1,2,4,3,x","Ab,Ebb,Ab,Cb",2,22.05,Abdim
594,Ab,dim,1;b3;b5,"x,x,4,3,1,2","Ab,Cb,Ebb,Ab",2,22.05,Abdim
593,Ab,m7,1;b3;5;b7,"1,3,1,1,1,x","Ab,Eb,Gb,Cb,Eb",3,44.1,Abm7
516,Ab,13,1;3;5;b7;9;11;13,"3,x,4,2,1,1","Ab,Gb,Bb,C,F",3,74.97,Ab13
518,Ab,13,1;3;5;b7;9;11;13,"x,2,1,3,3,4","Ab,C,Gb,Bb,F",3,74.97,Ab13
519,Ab,13,1;3;5;b7;9;11;13,"1,x,2,3,4,x","Ab,Gb,C,F",2,74.97,Ab13
520,Ab,13,1;3;5;b7;9;11;13,"x,x,1,3,3,4","C,Gb,Bb,F",2,74.97,Ab13
521,Ab,7(#9),1;3;5;b7;#9,"2,1,3,3,3,3","Ab,C,Gb,B,Eb,Ab",4,52.92,Ab7(#9)
522,Ab,7(#9),1;3;5;b7;#9,"1,3,1,2,1,4","Ab,Eb,Gb,C,Eb,B",4,52.92,Ab7(#9)
523,Ab,7(#9),1;3;5;b7;#9,"x,2,1,3,4,x","Ab,C,Gb,B",2,52.92,Ab7(#9)
613,Ab,maj7,1;3;5;7,"1,4,2,3,1,x","Ab,Eb,G,C,Eb",3,26.46,Abmaj7
599,Ab,6,1;3;5;6,"x,x,3,2,4,1","Ab,C,F,Ab",2,26.46,Ab6
614,Ab,maj7,1;3;5;7,"x,4,3,1,1,1","Ab,C,Eb,G,C",3,26.46,Abmaj7
632,Ab,m6,1;b3;5;6,"x,x,1,2,0,3","Eb,Ab,Cb,F",2,44.1,Abm6
616,Ab,maj7,1;3;5;7,"1,x,3,4,2,x","Ab,G,C,Eb",2,26.46,Abmaj7
646,Ab,6/9,1;3;5;6;9,"x,x,2,1,3,4","Ab,C,F,Bb",2,52.92,Ab6/9
645,Ab,6/9,1;3;5;6;9,"2,1,1,1,3,4","Ab,C,F,Bb,Eb,Ab",4,52.92,Ab6/9
644,Ab,sus4,1;4;5,"1,x,3,3,x,x","Ab,Ab,Db",1,17.64,Absus4
643,Ab,sus4,1;4;5,"x,x,1,2,3,4","Ab,Eb,Ab,Db",2,17.64,Absus4
642,Ab,sus4,1;4;5,"1,1,3,4,1,1","Ab,Db,Ab,Db,Eb,Ab",4,17.64,Absus4
641,Ab,sus4,1;4;5,"x,x,1,1,2,4","Eb,Ab,Db,Ab",2,17.64,Absus4
640,Ab,m9,1;b3;5;b7;9,"x,2,1,3,4,x","Ab,Cb,Gb,Bb",2,61.74,Abm9
639,Ab,m9,1;b3;5;b7;9,"x,x,2,1,4,3","Ab,Cb,Gb,Bb",2,61.74,Abm9
638,Ab,m9,1;b3;5;b7;9,"1,3,1,1,1,4","Ab,Eb,Gb,Cb,Eb,Bb",4,61.74,Abm9
637,Ab,7(b9),1;3;5;b7;b9,"x,2,1,3,1,x","Ab,C,Gb,Bbb",2,52.92,Ab7(b9)
636,Ab,7(b9),1;3;5;b7;b9,"1,x,1,2,1,3","Ab,Gb,C,Eb,Bbb",3,52.92,Ab7(b9)
635,Ab,7(b9),1;3;5;b7;b9,"3,2,4,1,x,x","Ab,C,Gb,Bbb",2,52.92,Ab7(b9)
634,Ab,m6,1;b3;5;6,"x,3,1,2,1,x","Ab,Cb,F,Ab",2,44.1,Abm6
633,Ab,m6,1;b3;5;6,"1,x,3,1,4,1","Ab,Ab,Cb,F,Ab",3,44.1,Abm6
615,Ab,maj7,1;3;5;7,"2,1,4,0,x,x","Ab,C,G,G",2,26.46,Abmaj7
524,Ab,9,1;3;5;b7;9,"x,1,3,2,4,x","C,Gb,Bb,Eb",2,52.92,Ab9
630,Ab,7(#11),1;3;5;b7;#11,"2,x,3,4,1,x","Ab,Gb,C,D",2,57.33,Ab7(#11)
629,Ab,5,1;5,"x,1,3,4,x,x","Ab,Eb,Ab",1,0.0,Ab5
628,Ab,5,1;5,"x,1,1,x,x,x","Eb,Ab",0,0.0,Ab5
627,Ab,5,1;5,"1,3,4,x,x,x","Ab,Eb,Ab",1,0.0,Ab5
626,Ab,5,1;5,"1,3,x,x,x,x","Ab,Eb",0,0.0,Ab5
625,Ab,maj7,1;3;5;7,"x,x,1,3,3,3","Ab,Eb,G,C",2,26.46,Abmaj7
624,Ab,maj7,1;3;5;7,"2,x,3,4,2,1","Ab,G,C,Eb,G",3,26.46,Abmaj7
623,Ab,maj7,1;3;5;7,"x,2,x,0,1,4","G,G,Ab,Eb",2,26.46,Abmaj7
622,Ab,maj7,1;3;5;7,"1,x,2,3,x,x","Ab,G,C",1,26.46,Abmaj7
621,Ab,maj7,1;3;5;7,"x,3,2,0,1,x","Ab,C,G,Ab",2,26.46,Abmaj7
620,Ab,maj7,1;3;5;7,"x,x,x,2,4,1","G,C,Eb",1,26.46,Abmaj7
619,Ab,maj7,1;3;5;7,"x,x,x,3,2,1","C,Eb,G",1,26.46,Abmaj7
618,Ab,maj7,1;3;5;7,"x,x,x,1,1,1","Eb,G,C",1,26.46,Abmaj7
617,Ab,maj7,1;3;5;7,"x,1,x,x,2,4","Ab,C,G",1,26.46,Abmaj7
631,Ab,7(#11),1;3;5;b7;#11,"1,x,1,4,x,x","Ab,Gb,D",1,57.33,Ab7(#11)
525,Ab,9,1;3;5;b7;9,"x,x,2,1,3,4","Gb,Bb,Eb,Ab",2,52.92,Ab9
543,Ab,7,1;3;5;b7,"x,x,1,2,1,1","Gb,C,Eb,Ab",2,44.1,Ab7
527,Ab,9b5,1;3;b5;b7;9,"2,1,3,1,1,4","Ab,C,Gb,Bb,Ebb,Ab",4,70.56,Ab9b5
647,Ab,6/9,1;3;5;6;9,"x,2,1,1,3,4","Ab,C,F,Bb,Eb",3,52.92,Ab6/9
563,Ab,maj,1;3;5,"x,x,x,3,4,1","Ab,C,Eb",1,30.87,Abmaj
564,Ab,maj,1;3;5,"x,x,1,1,1,x","Eb,Ab,C",1,30.87,Abmaj
565,Ab,maj,1;3;5,"1,3,4,2,x,x","Ab,Eb,Ab,C",2,30.87,Abmaj
566,Ab,maj,1;3;5,"x,4,3,1,x,x","Ab,C,Eb",1,30.87,Abmaj
567,Ab,maj,1;3;5,"x,3,4,2,1,x","Eb,Ab,C,Eb",2,30.87,Abmaj
568,Ab,maj,1;3;5,"1,x,x,2,1,1","Ab,C,Eb,Ab",2,30.87,Abmaj
569,Ab,maj,1;3;5,"2,1,x,x,x,x","Ab,C",0,30.87,Abmaj
570,Ab,maj,1;3;5,"x,3,4,2,1,1","Eb,Ab,C,Eb,Ab",3,30.87,Abmaj
571,Ab,maj,1;3;5,"3,x,1,4,x,x","C,Ab,Eb",1,30.87,Abmaj
572,Ab,maj,1;3;5,"x,1,2,3,4,1","Ab,Eb,Ab,C,Eb",3,30.87,Abmaj
573,Ab,11,1;3;5;b7;9;11,"3,x,4,2,1,1","Ab,Gb,Bb,Db,Gb",3,61.74,Ab11
574,Ab,11,1;3;5;b7;9;11,"x,x,1,1,2,1","Ab,Db,Gb,Bb",2,61.74,Ab11
575,Ab,11,1;3;5;b7;9;11,"x,1,1,1,1,1","Ab,Db,Gb,Bb,Eb",3,61.74,Ab11
576,Ab,maj9,1;3;5;7;9,"2,1,4,1,3,x","Ab,C,G,Bb,Eb",3,52.92,Abmaj9
577,Ab,maj9,1;3;5;7;9,"x,x,4,1,2,1","Ab,Bb,Eb,G",2,52.92,Abmaj9
578,Ab,maj9,1;3;5;7;9,"x,2,1,4,3,x","Ab,C,G,Bb",2,52.92,Abmaj9
579,Ab,m11,1;b3;5;b7;9;11,"2,x,3,4,1,x","Ab,Gb,Cb,Db",2,66.15,Abm11
580,Ab,m7b5,1;b3;b5;b7,"2,x,3,4,1,x","Ab,Gb,Cb,Ebb",2,44.1,Abm7b5
581,Ab,m,1;b3;5,"1,3,4,1,1,1","Ab,Eb,Ab,Cb,Eb,Ab",4,22.05,Abm
582,Ab,m,1;b3;5,"x,x,1,3,4,2","Ab,Eb,Ab,Cb",2,22.05,Abm
583,Ab,m,1;b3;5,"x,1,3,4,2,1","Ab,Eb,Ab,Cb,Eb",3,22.05,Abm
584,Ab,m,1;b3;5,"x,3,x,1,1,x","Eb,Cb,Eb",1,22.05,Abm
585,Ab,7b5,1;3;b5;b7,"x,x,2,4,1,3","Gb,C,Ebb,Ab",2,52.92,Ab7b5
586,Ab,7b5,1;3;b5;b7,"1,3,2,4,x,x","Ab,Ebb,Gb,C",2,52.92,Ab7b5
587,Ab,7b5,1;3;b5;b7,"x,x,1,2,3,4","Ab,Ebb,Gb,C",2,52.92,Ab7b5
588,Ab,m7,1;b3;5;b7,"1,3,1,1,4,1","Ab,Eb,Gb,Cb,Gb,Ab",4,44.1,Abm7
589,Ab,m7,1;b3;5;b7,"x,x,1,4,2,3","Ab,Eb,Gb,Cb",2,44.1,Abm7
590,Ab,m7,1;b3;5;b7,"x,1,3,1,2,1","Ab,Eb,Gb,Cb,Eb",3,44.1,Abm7
561,Ab,maj,1;3;5,"1,x,3,1,2,x","C,C,Eb,Ab",2,30.87,Abmaj
526,Ab,9,1;3;5;b7;9,"x,2,1,3,4,x","Ab,C,Gb,Bb",2,52.92,Ab9
560,Ab,maj,1;3;5,"x,1,4,4,4,x","Ab,Eb,Ab,C",2,30.87,Abmaj
558,Ab,maj,1;3;5,"x,3,1,1,1,x","C,Eb,Ab,C",2,30.87,Abmaj
528,Ab,9b5,1;3;b5;b7;9,"x,x,1,2,3,1","Ab,Ebb,Gb,Bb",2,70.56,Ab9b5
529,Ab,9b5,1;3;b5;b7;9,"1,2,1,3,4,1","Ebb,Ab,C,Gb,Bb,Ebb",4,70.56,Ab9b5
530,Ab,maj13,1;3;5;7;9;11;13,"2,1,1,1,3,1","Ab,C,F,Bb,Eb,G",4,74.97,Abmaj13
531,Ab,maj13,1;3;5;7;9;11;13,"1,x,2,3,4,x","Ab,G,C,F",2,74.97,Abmaj13
532,Ab,maj13,1;3;5;7;9;11;13,"2,x,1,1,4,1","Ab,F,Bb,F,G",3,74.97,Abmaj13
533,Ab,maj13,1;3;5;7;9;11;13,"x,1,1,1,2,1","C,F,Bb,Eb,G",3,74.97,Abmaj13
534,Ab,7,1;3;5;b7,"x,x,1,1,1,2","Eb,Ab,C,Gb",2,44.1,Ab7
535,Ab,7,1;3;5;b7,"1,3,1,2,4,1","Ab,Eb,Gb,C,Gb,Ab",4,44.1,Ab7
536,Ab,7,1;3;5;b7,"x,1,3,1,4,1","Ab,Eb,Gb,C,Eb",3,44.1,Ab7
537,Ab,7,1;3;5;b7,"x,x,x,2,1,3","Eb,Gb,C",1,44.1,Ab7
538,Ab,7,1;3;5;b7,"1,3,1,2,1,1","Ab,Eb,Gb,C,Eb,Ab",4,44.1,Ab7
539,Ab,7,1;3;5;b7,"1,x,2,3,x,x","Ab,Gb,C",1,44.1,Ab7
540,Ab,7,1;3;5;b7,"x,2,1,3,x,x","Ab,C,Gb",1,44.1,Ab7
541,Ab,7,1;3;5;b7,"x,x,1,3,2,4","Ab,Eb,Gb,C",2,44.1,Ab7
542,Ab,7,1;3;5;b7,"1,3,x,2,4,x","Ab,Eb,C,Gb",2,44.1,Ab7
544,Ab,7,1;3;5;b7,"x,x,2,3,1,4","C,Gb,Ab,Eb",2,44.1,Ab7
545,Ab,7,1;3;5;b7,"1,3,1,2,4,x","Ab,Eb,Gb,C,Gb",3,44.1,Ab7
546,Ab,dim7,1;b3;b5;bb7,"2,4,1,3,x,x","Ab,Ebb,Gbb,Cb",2,44.1,Abdim7
547,Ab,dim7,1;b3;b5;bb7,"x,2,3,1,4,x","Gbb,Cb,Ebb,Ab",2,44.1,Abdim7
548,Ab,dim7,1;b3;b5;bb7,"x,x,1,3,2,4","Cb,Gbb,Ab,Ebb",2,44.1,Abdim7
549,Ab,dim7,1;b3;b5;bb7,"3,x,1,4,2,x","Ab,Gbb,Cb,Ebb",2,44.1,Abdim7
550,Ab,dim7,1;b3;b5;bb7,"x,x,1,3,2,4","Ab,Ebb,Gbb,Cb",2,44.1,Abdim7
551,Ab,aug,1;3;#5,"x,3,2,1,1,x","E,Ab,C,E",2,44.1,Abaug
552,Ab,aug,1;3;#5,"4,3,2,1,x,x","C,E,Ab,C",2,44.1,Abaug
553,Ab,aug,1;3;#5,"x,x,4,2,3,1","E,Ab,C,E",2,44.1,Abaug
554,Ab,maj,1;3;5,"x,x,1,1,1,4","Eb,Ab,C,Ab",2,30.87,Abmaj
555,Ab,maj,1;3;5,"1,3,4,2,1,1","Ab,Eb,Ab,C,Eb,Ab",4,30.87,Abmaj
556,Ab,maj,1;3;5,"x,4,3,1,2,1","Ab,C,Eb,Ab,C",3,30.87,Abmaj
557,Ab,maj,1;3;5,"4,x,1,1,1,x","Ab,Eb,Ab,C",2,30.87,Abmaj
559,Ab,maj,1;3;5,"x,1,4,3,2,x","C,Ab,C,Eb",2,30.87,Abmaj
562,Ab,maj,1;3;5,"x,x,3,2,1,1","Ab,C,Eb,Ab",2,30.87,Abmaj
592,Ab,m7,1;b3;5;b7,"1,3,1,1,1,1","Ab,Eb,Gb,Cb,Eb,Ab",4,44.1,Abm7
591,Ab,m7,1;b3;5;b7,"2,x,3,3,3,x","Ab,Gb,Cb,Eb",2,44.1,Abm7
1549,B,m6,1;b3;5;6,"x,1,x,3,2,4","B,B,D,G#",2,44.1,Bm6
1469,B,11,1;3;5;b7;9;11,"3,x,4,2,1,1","B,A,C#,E,A",3,61.74,B11
1468,B,11,1;3;5;b7;9;11,"x,1,1,1,1,1","B,E,A,C#,F#",3,61.74,B11
1467,B,13(#11),1;3;5;b7;9;#11;13,"3,x,4,2,1,1","B,A,C#,D#,G#",3,92.61,B13(#11)
1466,B,maj,1;3;5,"x,x,1,2,4,3","B,F#,B,D#",2,30.87,Bmaj
1465,B,maj,1;3;5,"1,3,4,2,1,1","B,F#,B,D#,F#,B",4,30.87,Bmaj
1464,B,maj,1;3;5,"x,1,3,3,3,x","B,F#,B,D#",2,30.87,Bmaj
1463,B,aug,1;3;#5,"x,x,4,2,3,1","D#,F##,B,D#",2,44.1,Baug
1462,B,aug,1;3;#5,"4,3,2,0,x,x","F##,B,D#,F##",2,44.1,Baug
1461,B,aug,1;3;#5,"x,3,2,0,0,x","B,D#,F##,B",2,44.1,Baug
1460,B,dim7,1;b3;b5;bb7,"x,x,0,3,0,4","D,Ab,B,F",2,44.1,Bdim7
1459,B,dim7,1;b3;b5;bb7,"2,x,1,3,1,x","B,Ab,D,F",2,44.1,Bdim7
1458,B,dim7,1;b3;b5;bb7,"x,x,1,2,1,3","Ab,D,F,B",2,44.1,Bdim7
1457,B,dim7,1;b3;b5;bb7,"x,2,3,1,4,x","B,F,Ab,D",2,44.1,Bdim7
1456,B,dim7,1;b3;b5;bb7,"x,x,1,3,2,4","B,F,Ab,D",2,44.1,Bdim7
1470,B,11,1;3;5;b7;9;11,"x,x,1,1,2,1","B,E,A,C#",2,61.74,B11
1455,B,dim7,1;b3;b5;bb7,"x,2,3,1,4,x","D,Ab,B,F",2,44.1,Bdim7
1471,B,maj9,1;3;5;7;9,"x,2,1,4,3,x","B,D#,A#,C#",2,52.92,Bmaj9
1473,B,maj9,1;3;5;7;9,"x,x,4,1,2,1","B,C#,F#,A#",2,52.92,Bmaj9
1488,B,m,1;b3;5,"x,x,3,4,2,1","F#,B,D,F#",2,22.05,Bm
1487,B,m,1;b3;5,"x,x,1,3,4,2","B,F#,B,D",2,22.05,Bm
1486,B,m,1;b3;5,"1,3,4,1,1,1","B,F#,B,D,F#,B",4,22.05,Bm
1485,B,m,1;b3;5,"x,1,3,4,2,1","B,F#,B,D,F#",3,22.05,Bm
1484,B,m7b5,1;b3;b5;b7,"x,1,3,2,4,x","B,F,A,D",2,44.1,Bm7b5
1483,B,m7b5,1;b3;b5;b7,"2,x,3,4,1,x","B,A,D,F",2,44.1,Bm7b5
1482,B,m7b5,1;b3;b5;b7,"x,1,2,1,3,x","B,F,A,D",2,44.1,Bm7b5
1481,B,m7b5,1;b3;b5;b7,"x,2,0,3,4,1","B,D,A,D,F",3,44.1,Bm7b5
1480,B,m11,1;b3;5;b7;9;11,"2,x,3,4,0,0","B,A,D,B,E",3,66.15,Bm11
1479,B,m11,1;b3;5;b7;9;11,"1,x,0,3,4,0","B,D,E,A,E",3,66.15,Bm11
1478,B,m11,1;b3;5;b7;9;11,"x,1,x,3,4,0","B,A,C#,E",2,66.15,Bm11
1477,B,m11,1;b3;5;b7;9;11,"x,0,3,4,2,0","A,F#,B,D,E",3,66.15,Bm11
1476,B,m11,1;b3;5;b7;9;11,"x,x,4,3,1,x","A,C#,D",1,66.15,Bm11
1475,B,m11,1;b3;5;b7;9;11,"x,2,0,3,4,0","B,D,A,C#,E",3,66.15,Bm11
1474,B,m11,1;b3;5;b7;9;11,"2,x,3,4,1,x","B,A,D,E",2,66.15,Bm11
1472,B,maj9,1;3;5;7;9,"2,1,4,1,x,x","B,D#,A#,C#",2,52.92,Bmaj9
1454,B,dim7,1;b3;b5;bb7,"2,4,1,3,x,x","Ab,D,F,B",2,44.1,Bdim7
1453,B,7,1;3;5;b7,"1,x,2,3,x,x","B,A,D#",1,44.1,B7
1452,B,7,1;3;5;b7,"x,0,1,1,1,3","A,F#,B,D#,A",3,44.1,B7
1430,B,9,1;3;5;b7;9,"x,x,2,1,3,4","A,C#,F#,B",2,52.92,B9
1429,B,9,1;3;5;b7;9,"x,1,3,2,4,x","D#,A,C#,F#",2,52.92,B9
1428,B,9,1;3;5;b7;9,"x,2,1,3,4,x","B,D#,A,C#",2,52.92,B9
1427,B,7(#9),1;3;5;b7;#9,"x,1,x,2,3,x","B,A,C##",1,52.92,B7(#9)
1426,B,7(#9),1;3;5;b7;#9,"1,3,1,2,1,4","B,F#,A,D#,F#,C##",4,52.92,B7(#9)
1425,B,7(#9),1;3;5;b7;#9,"2,1,3,3,3,x","B,D#,A,C##,F#",3,52.92,B7(#9)
1424,B,7(#9),1;3;5;b7;#9,"x,2,1,3,4,x","B,D#,A,C##",2,52.92,B7(#9)
1423,B,13,1;3;5;b7;9;11;13,"1,4,1,2,1,1","B,G#,A,D#,F#,B",4,74.97,B13
1422,B,13,1;3;5;b7;9;11;13,"x,x,1,2,3,1","A,D#,G#,B",2,74.97,B13
1421,B,13,1;3;5;b7;9;11;13,"x,1,3,2,4,x","D#,A,C#,F#",2,74.97,B13
1420,B,13,1;3;5;b7;9;11;13,"1,x,2,3,4,x","B,A,D#,G#",2,74.97,B13
1419,B,13,1;3;5;b7;9;11;13,"1,3,1,2,4,1","B,F#,A,D#,G#,B",4,74.97,B13
1418,B,13,1;3;5;b7;9;11;13,"1,x,1,2,3,4","B,A,D#,G#,C#",3,74.97,B13
1417,B,13,1;3;5;b7;9;11;13,"4,x,3,2,1,1","B,A,C#,D#,G#",3,74.97,B13
1416,B,13,1;3;5;b7;9;11;13,"x,2,1,3,3,4","B,D#,A,C#,G#",3,74.97,B13
1431,B,9b5,1;3;b5;b7;9,"1,2,1,3,4,1","F,B,D#,A,C#,F",4,70.56,B9b5
1433,B,9b5,1;3;b5;b7;9,"x,x,1,2,3,1","B,F,A,C#",2,70.56,B9b5
1434,B,maj13,1;3;5;7;9;11;13,"x,1,1,1,2,1","D#,G#,C#,F#,A#",3,74.97,Bmaj13
1435,B,maj13,1;3;5;7;9;11;13,"1,1,3,2,1,4","F#,B,F#,A#,C#,G#",4,74.97,Bmaj13
1451,B,7,1;3;5;b7,"2,x,1,3,0,4","F#,D#,A,B,F#",3,44.1,B7
1450,B,7,1;3;5;b7,"x,2,1,3,x,4","B,D#,A,F#",2,44.1,B7
1449,B,7,1;3;5;b7,"2,x,1,3,x,x","F#,D#,A",1,44.1,B7
1448,B,7,1;3;5;b7,"2,0,1,3,0,4","F#,A,D#,A,B,F#",4,44.1,B7
1447,B,7,1;3;5;b7,"x,2,1,3,0,x","B,D#,A,B",2,44.1,B7
1446,B,7,1;3;5;b7,"x,0,1,2,1,1","A,A,D#,F#,B",3,44.1,B7
1445,B,7,1;3;5;b7,"1,x,2,4,3,x","B,A,D#,F#",2,44.1,B7
1489,B,m,1;b3;5,"x,1,3,4,2,x","B,F#,B,D",2,22.05,Bm
1444,B,7,1;3;5;b7,"x,x,1,1,1,3","F#,B,D#,A",2,44.1,B7
1442,B,7,1;3;5;b7,"x,2,1,3,0,4","B,D#,A,B,F#",3,44.1,B7
1441,B,7,1;3;5;b7,"x,2,1,2,x,x","B,D#,A",1,44.1,B7
1440,B,7,1;3;5;b7,"1,3,1,2,1,1","B,F#,A,D#,F#,B",4,44.1,B7
1439,B,7,1;3;5;b7,"x,1,3,3,3,4","B,F#,B,D#,A",3,44.1,B7
1438,B,7,1;3;5;b7,"1,3,1,2,4,1","B,F#,A,D#,A,B",4,44.1,B7
1437,B,7,1;3;5;b7,"x,1,3,1,4,1","B,F#,A,D#,F#",3,44.1,B7
1436,B,7,1;3;5;b7,"x,2,1,3,0,4","B,D#,A,B,F#",3,44.1,B7
1443,B,7,1;3;5;b7,"x,3,2,4,1,x","B,D#,A,B",2,44.1,B7
1490,B,m,1;b3;5,"x,x,3,2,4,1","D,F#,B,D",2,22.05,Bm
1491,B,m,1;b3;5,"x,1,3,4,2,1","B,F#,B,D,F#",3,22.05,Bm
1492,B,m,1;b3;5,"x,3,4,1,1,1","F#,B,D,F#,B",3,22.05,Bm
